text,book
PRIDE AND PREJUDICE,Pride & Prejudice
,Pride & Prejudice
By Jane Austen,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Chapter 1,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
"It is a truth universally acknowledged, that a single man in possession",Pride & Prejudice
"of a good fortune, must be in want of a wife.",Pride & Prejudice
,Pride & Prejudice
However little known the feelings or views of such a man may be on his,Pride & Prejudice
"first entering a neighbourhood, this truth is so well fixed in the minds",Pride & Prejudice
"of the surrounding families, that he is considered the rightful property",Pride & Prejudice
of some one or other of their daughters.,Pride & Prejudice
,Pride & Prejudice
"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that",Pride & Prejudice
"Netherfield Park is let at last?""",Pride & Prejudice
,Pride & Prejudice
Mr. Bennet replied that he had not.,Pride & Prejudice
,Pride & Prejudice
"""But it is,"" returned she; ""for Mrs. Long has just been here, and she",Pride & Prejudice
"told me all about it.""",Pride & Prejudice
,Pride & Prejudice
Mr. Bennet made no answer.,Pride & Prejudice
,Pride & Prejudice
"""Do you not want to know who has taken it?"" cried his wife impatiently.",Pride & Prejudice
,Pride & Prejudice
"""_You_ want to tell me, and I have no objection to hearing it.""",Pride & Prejudice
,Pride & Prejudice
This was invitation enough.,Pride & Prejudice
,Pride & Prejudice
"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken",Pride & Prejudice
by a young man of large fortune from the north of England; that he came,Pride & Prejudice
"down on Monday in a chaise and four to see the place, and was so much",Pride & Prejudice
"delighted with it, that he agreed with Mr. Morris immediately; that he",Pride & Prejudice
"is to take possession before Michaelmas, and some of his servants are to",Pride & Prejudice
"be in the house by the end of next week.""",Pride & Prejudice
,Pride & Prejudice
"""What is his name?""",Pride & Prejudice
,Pride & Prejudice
"""Bingley.""",Pride & Prejudice
,Pride & Prejudice
"""Is he married or single?""",Pride & Prejudice
,Pride & Prejudice
"""Oh! Single, my dear, to be sure! A single man of large fortune; four or",Pride & Prejudice
"five thousand a year. What a fine thing for our girls!""",Pride & Prejudice
,Pride & Prejudice
"""How so? How can it affect them?""",Pride & Prejudice
,Pride & Prejudice
"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You",Pride & Prejudice
"must know that I am thinking of his marrying one of them.""",Pride & Prejudice
,Pride & Prejudice
"""Is that his design in settling here?""",Pride & Prejudice
,Pride & Prejudice
"""Design! Nonsense, how can you talk so! But it is very likely that he",Pride & Prejudice
"_may_ fall in love with one of them, and therefore you must visit him as",Pride & Prejudice
"soon as he comes.""",Pride & Prejudice
,Pride & Prejudice
"""I see no occasion for that. You and the girls may go, or you may send",Pride & Prejudice
"them by themselves, which perhaps will be still better, for as you are",Pride & Prejudice
"as handsome as any of them, Mr. Bingley may like you the best of the",Pride & Prejudice
"party.""",Pride & Prejudice
,Pride & Prejudice
"""My dear, you flatter me. I certainly _have_ had my share of beauty, but",Pride & Prejudice
I do not pretend to be anything extraordinary now. When a woman has five,Pride & Prejudice
"grown-up daughters, she ought to give over thinking of her own beauty.""",Pride & Prejudice
,Pride & Prejudice
"""In such cases, a woman has not often much beauty to think of.""",Pride & Prejudice
,Pride & Prejudice
"""But, my dear, you must indeed go and see Mr. Bingley when he comes into",Pride & Prejudice
"the neighbourhood.""",Pride & Prejudice
,Pride & Prejudice
"""It is more than I engage for, I assure you.""",Pride & Prejudice
,Pride & Prejudice
"""But consider your daughters. Only think what an establishment it would",Pride & Prejudice
be for one of them. Sir William and Lady Lucas are determined to,Pride & Prejudice
"go, merely on that account, for in general, you know, they visit no",Pride & Prejudice
"newcomers. Indeed you must go, for it will be impossible for _us_ to",Pride & Prejudice
"visit him if you do not.""",Pride & Prejudice
,Pride & Prejudice
"""You are over-scrupulous, surely. I dare say Mr. Bingley will be very",Pride & Prejudice
glad to see you; and I will send a few lines by you to assure him of my,Pride & Prejudice
hearty consent to his marrying whichever he chooses of the girls; though,Pride & Prejudice
